,index,school_name,enrollment
0,0,Western Governors University,54735
1,1,Erie Community College,10027
2,2,The Art Institute of Pittsburgh-Online Division,6883
3,3,Grantham University,9828
4,4,Norco College,8104
5,5,Middle Georgia State University,7225
6,6,DeVry University-Illinois,16211
7,7,University of North Georgia,16048
8,8,Central Georgia Technical College,6811
9,9,College of Western Idaho,6951
10,10,Texas State Technical College,8160
11,11,University of Phoenix-Arizona,129139
12,12,Georgia Military College,6840
13,13,South Louisiana Community College,5640
14,14,American InterContinental University-Online,10375
15,15,University of California-Merced,6237
16,16,Folsom Lake College,7966
17,17,University of Arkansas,21815
18,18,California State University-Fullerton,33009
19,19,American River College,26760
20,20,California State University-San Bernardino,17518
21,21,California State University-Chico,15903
22,22,California State University-Bakersfield,8068
23,23,California State University-Stanislaus,8093
24,24,Azusa Pacific University,5883
25,25,Cabrillo College,11696
26,26,University of Alabama at Birmingham,11269
27,27,University of Alabama in Huntsville,5829
28,28,Mesa Community College,17717
29,29,Pima Community College,19859
30,30,Scottsdale Community College,6998
31,31,Phoenix College,9745
32,32,GateWay Community College,5019
33,33,Rio Salado College,7515
34,34,University of California-Santa Barbara,20606
35,35,University of California-Berkeley,27496
36,36,California State University-East Bay,12981
37,37,City College of San Francisco,21619
38,38,College of the Canyons,16628
39,39,De Anza College,20047
40,40,Cosumnes River College,13315
41,41,College of the Desert,9516
42,42,Evergreen Valley College,7313
43,43,Cuyamaca College,7748
44,44,Grossmont College,16285
45,45,Fresno City College,19180
46,46,Golden West College,11102
47,47,Irvine Valley College,11499
48,48,Hartnell College,10384
49,49,Pulaski Technical College,6844
50,50,Antelope Valley College,12286
51,51,University of Arkansas-Fort Smith,5754
52,52,Allan Hancock College,9437
53,53,College of Alameda,5486
54,54,San Diego State University,28649
55,55,Riverside City College,17010
56,56,University of Colorado Boulder,26496
57,57,Broward College,38474
58,58,Embry-Riddle Aeronautical University-Daytona Beach,5247
59,59,Eastern Florida State College,12266
60,60,College of Central Florida,6670
61,61,Metropolitan State University of Denver,19649
62,62,Front Range Community College,14848
63,63,Gateway Community College,6825
64,64,Delaware Technical Community College-Terry,12106
65,65,Yale University,5528
66,66,University of San Francisco,6682
67,67,San Joaquin Delta College,15208
68,68,San Joaquin Valley College-Visalia,5605
69,69,Saddleback College,17879
70,70,Loyola Marymount University,6162
71,71,San Diego Miramar College,11557
72,72,MiraCosta College,14197
73,73,Modesto Junior College,16280
74,74,Arapahoe Community College,6860
75,75,Santa Monica College,28136
76,76,Victor Valley College,9817
77,77,Santa Rosa Junior College,19537
78,78,College of San Mateo,7679
79,79,Community College of Denver,7076
80,80,Central Connecticut State University,9693
81,81,Sacred Heart University,5109
82,82,Post University,6170
83,83,Merritt College,5818
84,84,State College of Florida-Manatee-Sarasota,9014
85,85,University of South Florida-Main Campus,30282
86,86,St Petersburg College,27354
87,87,Santa Fe College,13291
88,88,The University of West Florida,9783
89,89,Valencia College,37925
90,90,Georgia State University,24421
91,91,Brigham Young University-Idaho,28457
92,92,Southwestern Illinois College,8614
93,93,University of Idaho,7826
94,94,Pensacola State College,7836
95,95,Polk State College,8436
96,96,Elgin Community College,8167
97,97,City Colleges of Chicago-Wilbur Wright College,7691
98,98,Armstrong State University,6184
99,99,Columbus State University,6743
100,100,University of Illinois at Urbana-Champaign,32170
101,101,Illinois Central College,7401
102,102,John C Calhoun State Community College,8547
103,103,Jacksonville State University,6625
104,104,University of South Alabama,11379
105,105,University of Arizona,32964
106,106,Central Arizona College,5134
107,107,Western Illinois University,9141
108,108,Ivy Tech Community College,70073
109,109,Indiana Wesleyan University-Marion,10000
110,110,Northern Illinois University,14952
111,111,Des Moines Area Community College,13423
112,112,University of Iowa,21970
113,113,University of Massachusetts-Boston,12397
114,114,University of Maryland-University College,36119
115,115,Holyoke Community College,5851
116,116,Montgomery College,18892
117,117,Prince George's Community College,11991
118,118,Anne Arundel Community College,12379
119,119,Wichita State University,11048
120,120,Butler Community College,7327
121,121,Jefferson Community and Technical College,10361
122,122,Murray State University,7891
123,123,Grand Rapids Community College,13840
124,124,Grand Valley State University,21889
125,125,Central Michigan University,19954
126,126,Northern Essex Community College,6010
127,127,Worcester State University,5049
128,128,Oakland Community College,16462
129,129,Macomb Community College,15955
130,130,Oakland University,16392
131,131,Moraine Valley Community College,11220
132,132,Triton College,8561
133,133,Frederick Community College,5042
134,134,Boston University,16456
135,135,Boston College,9491
136,136,Westfield State University,5459
137,137,Suffolk University,5352
138,138,Schoolcraft College,10475
139,139,University of Southern Mississippi,11737
140,140,Normandale Community College,7541
141,141,Century College,8256
142,142,Northwest Mississippi Community College,7074
143,143,Missouri State University-Springfield,16617
144,144,Metropolitan Community College-Kansas City,15198
145,145,Missouri Southern State University,5202
146,146,Ozarks Technical Community College,11655
147,147,Wayne County Community College District,11937
148,148,University of Minnesota-Duluth,8929
149,149,University of New Hampshire-Main Campus,12789
150,150,Atlantic Cape Community College,5950
151,151,Truman State University,5290
152,152,Bellevue University,6002
153,153,East Carolina University,21697
154,154,University at Buffalo,19692
155,155,North Carolina A & T State University,9036
156,156,University of North Carolina at Greensboro,15158
157,157,North Carolina State University at Raleigh,22458
158,158,University of North Carolina Wilmington,12971
159,159,Pitt Community College,7453
160,160,Pace University-New York,8371
161,161,Monroe College,5993
162,162,The New School,6752
163,163,Rensselaer Polytechnic Institute,5781
164,164,Cleveland State University,11658
165,165,Lorain County Community College,8827
166,166,SUNY Buffalo State,9018
167,167,St John's University-New York,11244
168,168,Orange County Community College,5354
169,169,Farmingdale State College,7977
170,170,SUNY College at Brockport,6997
171,171,University of Rochester,6125
172,172,Tulsa Community College,14581
173,173,Northeastern State University,6788
174,174,New Mexico State University-Dona Ana,5804
175,175,Rutgers University-Newark,7208
176,176,Central New Mexico Community College,21410
177,177,Union County College,10745
178,178,William Paterson University of New Jersey,9279
179,179,Kean University,11755
180,180,Middlesex County College,10675
181,181,Camden County College,10284
182,182,Bergen Community College,13575
183,183,Rowan College at Gloucester County,6128
184,184,Ocean County College,7535
185,185,Rowan College at Burlington County,8014
186,186,Mercer County Community College,7012
187,187,Passaic County Community College,7906
188,188,New Jersey Institute of Technology,7049
189,189,SUNY Broome Community College,5501
190,190,CUNY Bernard M Baruch College,14896
191,191,CUNY Queens College,15148
192,192,Dutchess Community College,6331
193,193,CUNY Hostos Community College,6722
194,194,Hudson Valley Community College,8243
195,195,Columbia University in the City of New York,8102
196,196,The College of New Jersey,6590
197,197,Essex County College,9828
198,198,Nassau Community College,19444
199,199,New York University,25314
200,200,Oakton Community College,9269
201,201,Delgado Community College,15534
202,202,Nicholls State University,5254
203,203,Oklahoma State University-Oklahoma City,5537
204,204,Linn-Benton Community College,5635
205,205,Clackamas Community College,5902
206,206,Oklahoma City Community College,12171
207,207,Bloomsburg University of Pennsylvania,8892
208,208,Lane Community College,7774
209,209,Bucks County Community College,8076
210,210,Oregon State University,23656
211,211,Millersville University of Pennsylvania,6952
212,212,University of Pittsburgh-Pittsburgh Campus,18655
213,213,Asheville-Buncombe Technical Community College,5113
